date,security_id,symbol,name,sector,asset_type,open,high,low,close,volume,source,status
2025-12-29,s1,RELIANCE,Reliance Industries Ltd,Energy,EQUITY,1494.699429,1497.996778,1490.962681,1495.006765,450000,FINTRACE_SYNTHETIC,DEMO
2025-12-30,s1,RELIANCE,Reliance Industries Ltd,Energy,EQUITY,1497.487882,1501.490088,1494.088358,1497.864155,473757,FINTRACE_SYNTHETIC,DEMO
2025-12-31,s1,RELIANCE,Reliance Industries Ltd,Energy,EQUITY,1499.068943,1503.170234,1495.758889,1499.489514,497514,FINTRACE_SYNTHETIC,DEMO
2026-01-01,s1,RELIANCE,Reliance Industries Ltd,Energy,EQUITY,1499.368044,1502.912188,1495.627126,1499.806748,521271,FINTRACE_SYNTHETIC,DEMO
2026-01-02,s1,RELIANCE,Reliance Industries Ltd,Energy,EQUITY,1498.429387,1502.425859,1494.942809,1498.860966,545028,FINTRACE_SYNTHETIC,DEMO
2026-01-03,s1,RELIANCE,Reliance Industries Ltd,Energy,EQUITY,1496.411087,1500.524799,1493.206027,1496.813507,568785,FINTRACE_SYNTHETIC,DEMO
2026-01-04,s1,RELIANCE,Reliance Industries Ltd,Energy,EQUITY,1493.569464,1497.122487,1489.865285,1493.925922,592542,FINTRACE_SYNTHETIC,DEMO
2026-01-05,s1,RELIANCE,Reliance Industries Ltd,Energy,EQUITY,1490.234005,1494.005123,1486.691792,1490.534423,616299,FINTRACE_SYNTHETIC,DEMO
2026-01-06,s1,RELIANCE,Reliance Industries Ltd,Energy,EQUITY,1486.775374,1490.726869,1483.69366,1487.017239,640056,FINTRACE_SYNTHETIC,DEMO
2026-01-07,s1,RELIANCE,Reliance Industries Ltd,Energy,EQUITY,1483.569526,1487.031253,1479.926524,1483.757995,663813,FINTRACE_SYNTHETIC,DEMO
2026-01-08,s1,RELIANCE,Reliance Industries Ltd,Energy,EQUITY,1480.96135,1484.473717,1477.378111,1481.108622,687570,FINTRACE_SYNTHETIC,DEMO
